Complaint ID,Date,Zone,Service,Channel,Issue Category,Priority,Resolution Days,Satisfaction (1-5),Status,Within 7 Days,Month
CC-1216,2026-06-11 22:11:33,South,Waste Collection,Service Center,Incorrect Information,Medium,5.4,4.4,Resolved,Yes,Jun-2026
CC-1217,2026-06-12 16:16:04,East,Streetlight,Walk-in,Incorrect Information,High,2.3,5,Resolved,Yes,Jun-2026
CC-1218,2026-06-13 10:20:35,Central,Waste Collection,Website,Billing,High,7.7,4.2,Escalated,No,Jun-2026
CC-1219,2026-06-14 4:25:06,Central,Road Repair,Helpline,Infrastructure,Medium,12,2.4,Escalated,No,Jun-2026
CC-1220,2026-06-14 22:29:37,North,Public Health,Service Center,Staff Behaviour,Low,6.5,2.9,Resolved,Yes,Jun-2026
CC-1221,2026-06-15 16:34:09,North,Water Supply,Helpline,Poor Service,Medium,4.4,4.2,Resolved,Yes,Jun-2026
CC-1222,2026-06-16 10:38:40,South,Water Supply,Helpline,Infrastructure,Medium,4.5,4.2,Resolved,Yes,Jun-2026
CC-1223,2026-06-17 4:43:11,North,Property Tax,Service Center,Infrastructure,Low,3.2,3.9,Resolved,Yes,Jun-2026
CC-1224,2026-06-17 22:47:42,East,Streetlight,Mobile App,Incorrect Information,Medium,4.5,4.7,Resolved,Yes,Jun-2026
CC-1225,2026-06-18 16:52:13,Central,Income Certificate,Mobile App,Infrastructure,Medium,6.1,5,Resolved,Yes,Jun-2026
CC-1226,2026-06-19 10:56:44,South,Income Certificate,Helpline,Staff Behaviour,Medium,3.2,4.7,Resolved,Yes,Jun-2026
CC-1227,2026-06-20 5:01:15,North,Waste Collection,Website,Staff Behaviour,Medium,5.1,4.3,Resolved,Yes,Jun-2026
CC-1228,2026-06-20 23:05:46,East,Property Tax,Service Center,Delay,Medium,2.9,4,Resolved,Yes,Jun-2026
CC-1229,2026-06-21 17:10:18,East,Birth Certificate,Mobile App,Staff Behaviour,Urgent,3.6,5,Resolved,Yes,Jun-2026
CC-1230,2026-06-22 11:14:49,North,Waste Collection,Helpline,Staff Behaviour,High,3.5,4.5,Resolved,Yes,Jun-2026
CC-1231,2026-06-23 5:19:20,Central,Property Tax,Helpline,Incorrect Information,Low,4.6,3.9,Resolved,Yes,Jun-2026
CC-1232,2026-06-23 23:23:51,North,Streetlight,Walk-in,Staff Behaviour,High,6.6,3.9,Resolved,Yes,Jun-2026
CC-1233,2026-06-24 17:28:22,South,Streetlight,Website,Delay,Medium,6,4.3,Resolved,Yes,Jun-2026
CC-1234,2026-06-25 11:32:53,North,Streetlight,Service Center,Poor Service,High,6.3,4,Resolved,Yes,Jun-2026
CC-1235,2026-06-26 5:37:24,East,Streetlight,Service Center,Incorrect Information,High,2.9,5,Resolved,Yes,Jun-2026
CC-1236,2026-06-26 23:41:55,North,Streetlight,Website,Poor Service,Medium,5.7,4.3,Resolved,Yes,Jun-2026
CC-1237,2026-06-27 17:46:27,Central,Property Tax,Service Center,Incorrect Information,Low,5.7,3.9,Resolved,Yes,Jun-2026
CC-1238,2026-06-28 11:50:58,West,Property Tax,Helpline,Billing,Low,4.1,4.6,Resolved,Yes,Jun-2026
CC-1239,2026-06-29 5:55:29,North,Water Supply,Walk-in,Infrastructure,Medium,3.7,4.8,Resolved,Yes,Jun-2026
CC-1240,2026-06-30 0:00:00,Central,Road Repair,Helpline,Billing,Medium,9.9,2.4,Escalated,No,Jun-2026
